,resultId,RNF_Outcome,RNF_Bin
2,23784,1,1
1,23783,2,1
0,23782,3,1
3,23785,4,2
4,23786,5,2
5,23787,6,2
6,23788,7,3
7,23789,8,3
8,23790,9,3
9,23791,10,3
10,23792,11,4
11,23793,12,4
12,23794,13,4
13,23795,14,4
14,23796,15,4
15,23797,16,4
16,23798,17,4
17,23799,18,4
18,23800,19,4
19,23801,20,4
20,23802,1,1
37,23819,2,1
21,23803,3,1
22,23804,4,2
23,23805,5,2
24,23806,6,2
25,23807,7,3
26,23808,8,3
27,23809,9,3
28,23810,10,3
29,23811,11,4
30,23812,12,4
31,23813,13,4
32,23814,14,4
33,23815,15,4
34,23816,16,4
35,23817,17,4
36,23818,18,4
38,23820,19,4
39,23821,20,4
47,23829,1,1
42,23824,2,1
40,23822,3,1
41,23823,4,2
43,23825,5,2
44,23826,6,2
45,23827,7,3
46,23828,8,3
48,23830,9,3
49,23831,10,3
50,23832,11,4
51,23833,12,4
52,23834,13,4
53,23835,14,4
54,23836,15,4
55,23837,16,4
56,23838,17,4
57,23839,18,4
58,23840,19,4
59,23841,20,4
73,23855,1,1
76,23858,2,1
60,23842,3,1
62,23844,4,2
63,23845,5,2
75,23857,6,2
61,23843,7,3
64,23846,8,3
65,23847,9,3
66,23848,10,3
67,23849,11,4
68,23850,12,4
69,23851,13,4
70,23852,14,4
71,23853,15,4
72,23854,16,4
74,23856,17,4
77,23859,18,4
78,23860,19,4
79,23861,20,4
80,23862,1,1
81,23863,2,1
82,23864,3,1
84,23866,4,2
83,23865,5,2
85,23867,6,2
86,23868,7,3
87,23869,8,3
88,23870,9,3
89,23871,10,3
90,23872,11,4
91,23873,12,4
92,23874,13,4
93,23875,14,4
94,23876,15,4
95,23877,16,4
96,23878,17,4
97,23879,18,4
98,23880,19,4
99,23881,20,4
101,23883,1,1
102,23884,2,1
100,23882,3,1
103,23885,4,2
104,23886,5,2
105,23887,6,2
106,23888,7,3
107,23889,8,3
108,23890,9,3
109,23891,10,3
110,23892,11,4
111,23893,12,4
112,23894,13,4
113,23895,14,4
114,23896,15,4
115,23897,16,4
116,23898,17,4
117,23899,18,4
118,23900,19,4
119,23901,20,4
120,23902,1,1
121,23903,2,1
123,23905,3,1
124,23906,4,2
122,23904,5,2
125,23907,6,2
126,23908,7,3
127,23909,8,3
128,23910,9,3
129,23911,10,3
130,23912,11,4
131,23913,12,4
132,23914,13,4
133,23915,14,4
134,23916,15,4
135,23917,16,4
136,23918,17,4
137,23919,18,4
138,23920,19,4
139,23921,20,4
140,23922,1,1
146,23928,2,1
144,23926,3,1
141,23923,4,2
142,23924,5,2
143,23925,6,2
145,23927,7,3
147,23929,8,3
148,23930,9,3
149,23931,10,3
150,23932,11,4
151,23933,12,4
152,23934,13,4
153,23935,14,4
154,23936,15,4
155,23937,16,4
156,23938,17,4
157,23939,18,4
158,23940,19,4
159,23941,20,4
175,23957,1,1
178,23960,2,1
163,23945,3,1
177,23959,4,2
160,23942,5,2
161,23943,6,2
162,23944,7,3
164,23946,8,3
165,23947,9,3
166,23948,10,3
167,23949,11,4
168,23950,12,4
169,23951,13,4
170,23952,14,4
171,23953,15,4
172,23954,16,4
173,23955,17,4
174,23956,18,4
176,23958,19,4
179,23961,20,4
181,23963,1,1
194,23982,2,1
182,23964,3,1
180,23962,4,2
183,23965,5,2
184,23966,6,2
185,23967,7,3
186,23968,8,3
187,23969,9,3
188,23970,10,3
189,23971,11,4
190,23972,12,4
191,23973,13,4
192,23974,14,4
193,23975,15,4
195,23977,16,4
196,23978,17,4
197,23979,18,4
198,23980,19,4
199,23981,20,4
201,23984,1,1
217,24000,2,1
200,23983,3,1
202,23985,4,2
212,23995,5,2
203,23986,6,2
204,23987,7,3
205,23988,8,3
206,23989,9,3
207,23990,10,3
208,23991,11,4
